edad,qx,aa
0,0.0161,0
1,0.0012800000000000001,0
2,0.00069999999999999999,0
3,0.00046999999999999999,0
4,0.00040000000000000002,0
5,0.00038000000000000002,0
6,0.00036999999999999999,0
7,0.00036000000000000002,0
8,0.00035,0
9,0.00034000000000000002,0
10,0.00033373733826100001,0
11,0.00035561832078200001,0
12,0.00037941034273600001,0
13,0.00040528025869499999,0
14,0.00043340948203999998,0
15,0.000463995253563,0
16,0.00049725202030199999,0
17,0.00053341293412199995,0
18,0.00057273148037500002,0
19,0.00061548324786099996,0
20,0.00066196785223499998,0
21,0.00071251102607100005,0
22,0.00076746688987699996,0
23,0.00082722041957599996,0
24,0.000892190127263,0
25,0.00096283097346200005,0
26,0.0010396375305979999,0
27,0.001123147419061,0
28,0.001213945038997,0
29,0.001312665622821,0
30,0.0014199996355400001,0
31,0.001536697552127,0
32,0.0016635750435329999,0
33,0.0018015186054760001,0
34,0.0019514916667979999,0
35,0.002114541217093,0
36,0.0022918049963440001,0
37,0.0024845192925999999,0
38,0.002694027397165,0
39,0.0029217887704380001,0
40,0.0031693889754309998,0
41,0.0034385504400100001,0
42,0.0037311441132139998,0
43,0.0040492020854070001,0
44,0.0043949312465990003,0
45,0.0047707280620469996,0
46,0.0051791945490040001,0
47,0.0056231555434170001,0
48,0.0061056773501929999,0
49,0.0066300878754440001,0
50,0.0071999983437229997,0
51,0.0078193267075129993,0
52,0.0084923228601089997,0
53,0.0092235957661850002,0
54,0.010018142626712001,0
55,0.010881380196102,0
56,0.01181917836923,0
57,0.012837896153928999,0
58,0.013944420140254,0
59,0.015146205570592,0
60,0.016451320104119999,0
61,0.017868490354195,0
62,0.019407151257320999,0
63,0.021077498306176001,0
64,0.022890542645661999,0
65,0.024858168988705999,0
66,0.026993196255844999,0
67,0.029309440777779,0
68,0.031821781820819003,0
69,0.034546229099198002,0
70,0.037500004073345,0
71,0.040484759681236999,0
72,0.043730148110365998,0
73,0.047257887342417003,0
74,0.051091308289971001,0
75,0.055255436540140999,0
76,0.05977707026812,0
77,0.064684852134734003,0
78,0.070009332518590997,0
79,0.075783020900276998,0
80,0.082040421607966998,0
81,0.088818049446086997,0
82,0.096154419958809995,0
83,0.1040900082282,0
84,0.112667169176704,0
85,0.121930011344938,0
86,0.131924215065197,0
87,0.14269678487527401,0
88,0.15429572495517499,0
89,0.166769625375883,0
90,0.180167146098859,0
91,0.194536385055328,0
92,0.209924116391421,0
93,0.22637488524664201,0
94,0.243929946432214,0
95,0.262626036323519,0
96,0.28249397044527902,0
97,0.30355706391099602,0
98,0.32582937840438903,0
99,0.349313808091475,0
100,0.37400002803650101,0
101,0.39986234260875803,0
102,0.42685748813521401,0
103,0.45492246360334898,0
104,0.48397248518576003,0
105,0.51389918397498202,0
106,0.54456919028898898,0
107,0.57582327029231495,0
108,0.607476198785318,0
109,0.639317562362962,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,0
140,1,0
141,1,0
142,1,0
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,0
167,1,0
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
