edad,qx,aa
0,0.00523477,0.0406
1,0.00034512,0.0406
2,0.00025995,0.0406
3,0.00017628,0.0406
4,0.00016557,0.0406
5,0.00013647,0.0358
6,0.00012549,0.0358
7,0.00011668,0.0358
8,0.00010977,0.0358
9,0.00010448,0.0358
10,0.00010517,0.0287
11,0.00010854,0.0287
12,0.00012108,0.0287
13,0.00014434,0.0287
14,0.00017483,0.0287
15,0.00021791,0.0193
16,0.00025208,0.0193
17,0.000277,0.0193
18,0.00028826,0.0193
19,0.0002895,0.0193
20,0.0002863,0.0216
21,0.00028873,0.0216
22,0.00029155,0.0216
23,0.00029596,0.0216
24,0.00030215,0.0216
25,0.00030358,0.0255
26,0.00031098,0.0255
27,0.00032282,0.0255
28,0.00034039,0.0255
29,0.00036272,0.0255
30,0.00038059,0.0308
31,0.00040783,0.0308
32,0.00043479,0.0308
33,0.00046033,0.0308
34,0.00048616,0.0308
35,0.00051675,0.0301
36,0.00055158,0.0301
37,0.00059219,0.0301
38,0.00063967,0.0301
39,0.00069405,0.0301
40,0.00076311,0.0277
41,0.00083184,0.0277
42,0.00090659,0.0277
43,0.00098724,0.0277
44,0.00107526,0.0277
45,0.0011909,0.0241
46,0.00130217,0.0241
47,0.00142457,0.0241
48,0.00155885,0.0241
49,0.00174592,0.0241
50,0.00191112,0.0256
51,0.00207476,0.0256
52,0.00222752,0.0256
53,0.00237838,0.0256
54,0.00254093,0.0256
55,0.00276324,0.025
56,0.00302323,0.025
57,0.00332899,0.025
58,0.00368061,0.025
59,0.00407777,0.025
60,0.00459886,0.0208
61,0.005096,0.0208
62,0.00564105,0.0208
63,0.00623625,0.0208
64,0.00688529,0.0208
65,0.0075899,0.0209
66,0.00836155,0.0209
67,0.00920353,0.0209
68,0.01012261,0.0209
69,0.01112687,0.0209
70,0.01216685,0.0221
71,0.01337057,0.0221
72,0.01470343,0.0221
73,0.01619245,0.0221
74,0.01787229,0.0221
75,0.01993901,0.0202
76,0.02214868,0.0202
77,0.02469148,0.0202
78,0.02761851,0.0202
79,0.03097818,0.0202
80,0.03539995,0.0161
81,0.03981977,0.0161
82,0.04478628,0.0161
83,0.05031589,0.0161
84,0.05641381,0.0161
85,0.06410556,0.0121
86,0.0714269,0.0121
87,0.07927079,0.0121
88,0.08759623,0.0121
89,0.09635217,0.0121
90,0.10719734,0.0081
91,0.11678025,0.0081
92,0.12659571,0.0081
93,0.13656358,0.0081
94,0.14660022,0.0081
95,0.15965745,0.004
96,0.17222797,0.004
97,0.18763356,0.004
98,0.20690049,0.004
99,0.22456541,0.004
100,0.24742439,0.0
101,0.2679763,0.0
102,0.28988479,0.0
103,0.31317346,0.0
104,0.3378526,0.0
105,0.36391633,0.0
106,0.3913397,0.0
107,0.42007559,0.0
108,0.45005167,0.0
109,0.48116749,0.0
110,1.0,0.0
