edad,qx,aa
0,0.00527215,0.0437
1,0.00026525,0.0437
2,0.0002236,0.0437
3,0.00019462,0.0437
4,0.00014259,0.0437
5,0.00011414,0.0416
6,0.00010688,0.0416
7,0.00010098,0.0416
8,9.377e-05,0.0416
9,8.58e-05,0.0416
10,8.242e-05,0.0374
11,8.778e-05,0.0374
12,0.00011181,0.0374
13,0.00015942,0.0374
14,0.00022468,0.0374
15,0.00032342,0.0168
16,0.00039999,0.0168
17,0.00047245,0.0168
18,0.00053602,0.0168
19,0.00059158,0.0168
20,0.0006381,0.0207
21,0.00069289,0.0207
22,0.00073413,0.0207
23,0.00075783,0.0207
24,0.00076864,0.0207
25,0.000766,0.0236
26,0.00077479,0.0236
27,0.00078607,0.0236
28,0.00080265,0.0236
29,0.00082433,0.0236
30,0.00084034,0.0256
31,0.00086515,0.0256
32,0.00089755,0.0256
33,0.00093947,0.0256
34,0.00098969,0.0256
35,0.00104253,0.0269
36,0.00110494,0.0269
37,0.00116753,0.0269
38,0.00122813,0.0269
39,0.00129039,0.0269
40,0.00134303,0.0297
41,0.0014229,0.0297
42,0.00151948,0.0297
43,0.00163658,0.0297
44,0.00177235,0.0297
45,0.00191307,0.0313
46,0.00207717,0.0313
47,0.00224793,0.0313
48,0.0024225,0.0313
49,0.0026065,0.0313
50,0.00283049,0.0298
51,0.00306631,0.0298
52,0.0032199,0.0298
53,0.00349669,0.0298
54,0.00386465,0.0298
55,0.00432423,0.0287
56,0.00480206,0.0287
57,0.00531015,0.0287
58,0.00586043,0.0287
59,0.00645862,0.0287
60,0.00725702,0.0234
61,0.00794351,0.0234
62,0.00864756,0.0234
63,0.00938077,0.0234
64,0.01019303,0.0234
65,0.01132571,0.0197
66,0.0125117,0.0197
67,0.01392091,0.0197
68,0.0155292,0.0197
69,0.01730257,0.0197
70,0.01926206,0.0193
71,0.02137767,0.0193
72,0.02373374,0.0193
73,0.02638194,0.0193
74,0.02934671,0.0193
75,0.03319344,0.015
76,0.03680136,0.015
77,0.04066463,0.015
78,0.04479283,0.015
79,0.04923599,0.015
80,0.05473812,0.012
81,0.06014039,0.012
82,0.06614873,0.012
83,0.07286029,0.012
84,0.0803619,0.012
85,0.08980874,0.009
86,0.09920256,0.009
87,0.10955595,0.009
88,0.12087779,0.009
89,0.13315283,0.009
90,0.14812221,0.006
91,0.16233538,0.006
92,0.17732952,0.006
93,0.19300355,0.006
94,0.20924055,0.006
95,0.22835692,0.003
96,0.24670781,0.003
97,0.2658306,0.003
98,0.2856768,0.003
99,0.30618872,0.003
100,0.331257,0.0
101,0.35315391,0.0
102,0.37549806,0.0
103,0.39819949,0.0
104,0.42116281,0.0
105,0.44428855,0.0
106,0.46747463,0.0
107,0.4906179,0.0
108,0.51361575,0.0
109,0.53636771,0.0
110,1.0,0.0
