edad,qx,aa2021,aa2022,aa2023,aa2024,aa2025,aa2026,aa2027,aa2028,aa2029,aa2030,aa2031,aa2032,aa2033,aa2034,aa2035,aa2036
0,0.00615389,0.039574,0.037487,0.035188,0.03273,0.030164,0.027545,0.024924,0.022355,0.019891,0.017584,0.015486,0.013652,0.012134,0.010983,0.010255,0.01
1,0.00033059,0.03917,0.037113,0.034846,0.032422,0.029892,0.027308,0.024724,0.022189,0.019758,0.017482,0.015413,0.013603,0.012105,0.01097,0.010251,0.01
2,0.00020027,0.038647,0.036627,0.034401,0.032021,0.029536,0.026999,0.02446,0.021971,0.019584,0.017348,0.015316,0.013539,0.012067,0.010953,0.010247,0.01
3,0.00016324,0.037985,0.036012,0.033837,0.031511,0.029084,0.026605,0.024125,0.021694,0.019362,0.017178,0.015193,0.013457,0.01202,0.010931,0.010241,0.01
4,0.00013858,0.037176,0.03526,0.033147,0.030889,0.028531,0.026124,0.023716,0.021355,0.019091,0.01697,0.015043,0.013357,0.011961,0.010904,0.010234,0.01
5,0.00012713,0.036227,0.034377,0.032339,0.030159,0.027884,0.025561,0.023237,0.020958,0.018772,0.016726,0.014866,0.013239,0.011892,0.010872,0.010226,0.01
6,0.00011835,0.035151,0.033376,0.031421,0.02933,0.027149,0.024921,0.022692,0.020508,0.018412,0.016449,0.014666,0.013106,0.011814,0.010836,0.010217,0.01
7,0.00011448,0.033964,0.032273,0.03041,0.028418,0.026339,0.024216,0.022093,0.020011,0.018014,0.016145,0.014446,0.012959,0.011729,0.010797,0.010206,0.01
8,0.00011199,0.032686,0.031085,0.029321,0.027435,0.025467,0.023458,0.021448,0.019477,0.017587,0.015817,0.014208,0.012801,0.011636,0.010754,0.010195,0.01
9,0.0001111,0.031327,0.029822,0.028164,0.02639,0.02454,0.022651,0.020761,0.018909,0.017132,0.015468,0.013956,0.012633,0.011538,0.010709,0.010184,0.01
10,0.0001159,0.029894,0.02849,0.026943,0.025289,0.023563,0.021801,0.020038,0.01831,0.016652,0.015101,0.01369,0.012456,0.011435,0.010661,0.010171,0.01
11,0.00013017,0.028402,0.027103,0.025671,0.024141,0.022545,0.020915,0.019284,0.017686,0.016153,0.014717,0.013413,0.012272,0.011327,0.010612,0.010158,0.01
12,0.00015524,0.026874,0.025682,0.02437,0.022966,0.021502,0.020008,0.018512,0.017047,0.015641,0.014325,0.013129,0.012083,0.011217,0.010561,0.010145,0.01
13,0.00019468,0.025349,0.024264,0.02307,0.021793,0.020461,0.019102,0.017742,0.016409,0.01513,0.013933,0.012845,0.011894,0.011106,0.01051,0.010132,0.01
14,0.00025543,0.023871,0.02289,0.02181,0.020656,0.019453,0.018224,0.016995,0.01579,0.014635,0.013554,0.012571,0.011711,0.011,0.010461,0.010119,0.01
15,0.00034378,0.022491,0.021608,0.020635,0.019595,0.018511,0.017405,0.016298,0.015213,0.014173,0.013199,0.012315,0.011541,0.0109,0.010415,0.010107,0.01
16,0.00045733,0.021262,0.020465,0.019588,0.01865,0.017673,0.016675,0.015677,0.0147,0.013762,0.012884,0.012086,0.011389,0.010811,0.010374,0.010097,0.01
17,0.00058065,0.020226,0.019502,0.018706,0.017854,0.016967,0.016061,0.015155,0.014267,0.013415,0.012618,0.011894,0.011261,0.010736,0.010339,0.010088,0.01
18,0.00069171,0.019409,0.018743,0.01801,0.017226,0.01641,0.015576,0.014742,0.013926,0.013142,0.012409,0.011743,0.01116,0.010678,0.010312,0.010081,0.01
19,0.00077138,0.01881,0.018186,0.0175,0.016766,0.016001,0.015221,0.01444,0.013676,0.012942,0.012255,0.011632,0.011086,0.010634,0.010292,0.010076,0.01
20,0.00082151,0.018403,0.017808,0.017154,0.016454,0.015725,0.01498,0.014236,0.013506,0.012806,0.012152,0.011556,0.011036,0.010605,0.010279,0.010072,0.01
21,0.00085472,0.018148,0.017572,0.016937,0.016259,0.015551,0.01483,0.014108,0.0134,0.012722,0.012087,0.011509,0.011005,0.010587,0.010271,0.01007,0.01
22,0.00088217,0.017999,0.017433,0.01681,0.016144,0.01545,0.014741,0.014033,0.013338,0.012672,0.012049,0.011482,0.010986,0.010576,0.010266,0.010069,0.01
23,0.00090579,0.01791,0.01735,0.016734,0.016076,0.01539,0.014689,0.013988,0.013301,0.012643,0.012026,0.011466,0.010976,0.01057,0.010263,0.010068,0.01
24,0.00092329,0.017843,0.017288,0.016678,0.016025,0.015345,0.01465,0.013955,0.013274,0.012621,0.012009,0.011453,0.010967,0.010565,0.01026,0.010067,0.01
25,0.00094582,0.017768,0.017219,0.016614,0.015968,0.015294,0.014606,0.013917,0.013243,0.012596,0.01199,0.01144,0.010958,0.01056,0.010258,0.010067,0.01
26,0.00097728,0.017667,0.017124,0.016528,0.01589,0.015224,0.014545,0.013866,0.0132,0.012562,0.011964,0.011421,0.010946000000000001,0.010552,0.010255,0.010066,0.01
27,0.00101871,0.017531,0.016999,0.016412,0.015786,0.015132,0.014465,0.013798,0.013144,0.012516,0.011929,0.011396,0.010929,0.010543,0.01025,0.010065,0.01
28,0.00105387,0.017363,0.016842,0.016269,0.015656,0.015017,0.014365,0.013712,0.013073,0.01246,0.011886,0.011364,0.010908,0.01053,0.010244,0.010063,0.01
29,0.001078,0.01716,0.016654,0.016096,0.0155,0.014878,0.014244,0.01361,0.012988,0.012392,0.011834,0.011326,0.010883,0.010516,0.010238,0.010062,0.01
