edad,qx,aa
0,0.01080429,0.0437
1,0.00440199,0.0437
2,0.00454767,0.0437
3,0.00471059,0.0437
4,0.00484162,0.0437
5,0.00504765,0.0416
6,0.00524207,0.0416
7,0.00543836,0.0416
8,0.00563282,0.0416
9,0.0058262,0.0416
10,0.00613027,0.0374
11,0.00634584,0.0374
12,0.00658733,0.0374
13,0.00686127,0.0374
14,0.00715908,0.0374
15,0.00812627,0.0168
16,0.00845708,0.0168
17,0.00878197,0.0168
18,0.0090946,0.0168
19,0.00939622,0.0168
20,0.00954636,0.0207
21,0.00984314,0.0207
22,0.0101216,0.0207
23,0.01037641,0.0207
24,0.01061386,0.0207
25,0.01071761,0.0236
26,0.01094971,0.0236
27,0.01118516,0.0236
28,0.01142773,0.0236
29,0.01167715,0.0236
30,0.01183078,0.0256
31,0.01217004,0.0256
32,0.01242405,0.0256
33,0.01260603,0.0256
34,0.01274172,0.0256
35,0.0128699,0.0269
36,0.01313684,0.0269
37,0.01348688,0.0269
38,0.01392834,0.0269
39,0.01446344,0.0269
40,0.01491453,0.0297
41,0.01560964,0.0297
42,0.01637149,0.0297
43,0.01718933,0.0297
44,0.01805512,0.0297
45,0.01883983,0.0313
46,0.01978603,0.0313
47,0.02077704,0.0313
48,0.02181627,0.0313
49,0.02290607,0.0313
50,0.02419355,0.0298
51,0.02537782,0.0298
52,0.02658361,0.0298
53,0.02778798,0.0298
54,0.02896646,0.0298
55,0.03023407,0.0287
56,0.03130672,0.0287
57,0.03230843,0.0287
58,0.033239,0.0287
59,0.03410416,0.0287
60,0.03568219,0.0234
61,0.03646622,0.0234
62,0.03722138,0.0234
63,0.03796311,0.0234
64,0.03870763,0.0234
65,0.04007493,0.0197
66,0.0408964,0.0197
67,0.04178883,0.0197
68,0.04278337,0.0197
69,0.04391568,0.0197
70,0.04529994,0.0193
71,0.04683533,0.0193
72,0.04864091,0.0193
73,0.05076533,0.0193
74,0.0532563,0.0193
75,0.05714919,0.015
76,0.06055723,0.015
77,0.06444797,0.015
78,0.06883571,0.015
79,0.07371979,0.015
80,0.08005169,0.012
81,0.08593481,0.012
82,0.09222398,0.012
83,0.09885844,0.012
84,0.10576601,0.012
85,0.11424258,0.009
86,0.121534,0.009
87,0.12964852,0.009
88,0.13990696,0.009
89,0.15006501,0.009
90,0.16293381,0.006
91,0.17478192,0.006
92,0.18747762,0.006
93,0.20106321,0.006
94,0.21557974,0.006
95,0.23386842,0.003
96,0.25056103,0.003
97,0.26830449,0.003
98,0.28712621,0.003
99,0.30704706,0.003
100,0.3320466,0.0
101,0.35446258,0.0
102,0.37799926,0.0
103,0.40263525,0.0
104,0.42833402,0.0
105,0.45504205,0.0
106,0.48268701,0.0
107,0.51117625,0.0
108,0.54039544,0.0
109,0.57020773,0.0
110,1.0,0.0
