edad,qx,aa2021,aa2022,aa2023,aa2024,aa2025,aa2026,aa2027,aa2028,aa2029,aa2030,aa2031,aa2032,aa2033,aa2034,aa2035,aa2036
0,0.00520685,0.039118,0.037066,0.034805,0.032385,0.02986,0.027281,0.024701,0.022171,0.019744,0.017471,0.015405,0.013598,0.012102,0.010969,0.010251,0.01
1,0.00297972,0.037961,0.035991,0.033819,0.031496,0.029072,0.026595,0.024118,0.021688,0.019357,0.017175,0.015191,0.013456,0.012019,0.010931,0.010241,0.01
2,0.00202994,0.036682,0.034802,0.03273,0.030513,0.028199,0.025836,0.023472,0.021153,0.018929,0.016846,0.014953,0.013297,0.011926,0.010888,0.01023,0.01
3,0.00160661,0.035237,0.033458,0.031497,0.0294,0.027211,0.024976,0.02274,0.020547,0.018444,0.016474,0.014684,0.013118,0.011822,0.01084,0.010217,0.01
4,0.00136809,0.033621,0.031955,0.030119,0.028155,0.026106,0.024014,0.021921,0.019869,0.017901,0.016058,0.014382,0.012917,0.011704,0.010786,0.010203,0.01
5,0.00123699,0.031865,0.030321,0.028621,0.026802,0.024906,0.022969,0.021031,0.019132,0.017311,0.015605,0.014055,0.012699,0.011577,0.010727,0.010188,0.01
6,0.00113508,0.030009,0.028595,0.027038,0.025373,0.023637,0.021865,0.020092,0.018354,0.016688,0.015127,0.013709,0.012469,0.011442,0.010665,0.010172,0.01
7,0.00106643,0.028091,0.026811,0.025403,0.023897,0.022327,0.020725,0.019122,0.017551,0.016044,0.014634,0.013352,0.012231,0.011303,0.010601,0.010156,0.01
8,0.00101843,0.02614,0.024998,0.02374,0.022397,0.020996,0.019566,0.018136,0.016734,0.015391,0.014133,0.01299,0.01199,0.011162,0.010536,0.010139,0.01
9,0.00100611,0.024177,0.023173,0.022068,0.020887,0.019656,0.0184,0.017144,0.015913,0.014733,0.013629,0.012625,0.011747,0.01102,0.01047,0.010122,0.01
10,0.00103708,0.022218,0.021352,0.020398,0.01938,0.018319,0.017237,0.016154,0.015094,0.014077,0.013125,0.012261,0.011505,0.010879,0.010405,0.010105,0.01
11,0.00115852,0.020279,0.019549,0.018746,0.017889,0.016996,0.016085,0.015175,0.014283,0.013428,0.012627,0.0119,0.011265,0.010739,0.01034,0.010088,0.01
12,0.00133834,0.018386,0.017789,0.017133,0.016433,0.015704,0.014961,0.014218,0.013491,0.012794,0.012141,0.011549,0.011031,0.010602,0.010277,0.010072,0.01
