edad,qx,aa
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0.00065464765565999999,0
21,0.00068993776030700003,0
22,0.00072839325116699999,0
23,0.00077029791241799996,0
24,0.00081596094412700001,0
25,0.00086571923363000004,0
26,0.000919939828997,0
27,0.0009790226323609999,0
28,0.001043403332487,0
29,0.001113556597556,0
30,0.0011899995509809999,0
31,0.0012732955550089999,0
32,0.00136405832894,0
33,0.001462956431081,0
34,0.001570718135992,0
35,0.0016881367411940001,0
36,0.001816076340357,0
37,0.0019554781030000001,0
38,0.0021073671039980001,0
39,0.002272859749683,0
40,0.00245317185103,0
41,0.0026496273983999999,0
42,0.0028636680965080001,0
43,0.0030968637227950001,0
44,0.0033509233770579998,0
45,0.003627707695213,0
46,0.0039292421052550004,0
47,0.0042577312089259996,0
48,0.0046155743782619997,0
49,0.005005382661961,0
50,0.0054299971024840002,0
51,0.0058925085707519998,0
52,0.0063962792312740003,0
53,0.0069449657563920002,0
54,0.007542544413884,0
55,0.0081933381573429994,0
56,0.0089020458533030002,0
57,0.0096737737827590001,0
58,0.010514069557263001,0
59,0.011428958590768999,0
60,0.012424983267445001,0
61,0.013509244942226,0
62,0.014689448904298,0
63,0.015973952423266002,0
64,0.017371815982586001,0
65,0.018892857783773,0
66,0.020547711576922999,0
67,0.022347887836457001,0
68,0.024305838254343001,0
69,0.026435023464144999,0
70,0.028750022809316,0
71,0.031391977077379001,0
72,0.034279857255049999,0
73,0.037435688428873001,0
74,0.040883294180769997,0
75,0.044648407870084998,0
76,0.048758783062803998,0
77,0.053244300968238997,0
78,0.058137072204897,0
79,0.063471529584101002,0
80,0.069284507861115993,0
81,0.075615305548754994,0
82,0.082505722908390006,0
83,0.090000069121006998,0
84,0.098145130393409996,0
85,0.106990089374449,0
86,0.11658638475426,0
87,0.12698749831860601,0
88,0.13824865506888201,0
89,0.15042642035526199,0
90,0.16357817639184999,0
91,0.17776145914790001,0
92,0.193033135599393,0
93,0.20944840089090599,0
94,0.22705957536711599,0
95,0.24591468301918801,0
96,0.26605579605511298,0
97,0.28751713551418101,0
98,0.31032292563271602,0
99,0.33448501059796099,0
100,0.36000025696737298,0
101,0.38684778389006902,0
102,0.41498608670537901,0
103,0.44435014759790697,0
104,0.47484865941231602,0
105,0.50636152449342897,0
106,0.53873782767477196,0
107,0.57179451834699602,0
108,0.60531606664144899,0
109,0.63905537747451802,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,0
140,1,0
141,1,0
142,1,0
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,0
167,1,0
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
210,1,0
